
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
21	1	0	1	1.0	    	    	3.0	    	4.0	    	    	    	    	0	1	12	0	6	0	0	2.9	1.7	39.0	108.1	hotchmoney
20	2	2	0	1.0	3.0	5.0	    	    	    	    	    	    	    	0	1	10	0	2	0	0	2.6	1.4	32.3	21.1	tacodoiphin
20	2	2	1	0.5	    	    	4.5	1.0	3.0	    	    	    	    	0	0	11	0	3	0	0	2.7	1.5	16.1	8.4	weegeestares64
20	1	1	0	0.3	    	1.0	1.3	    	0.3	    	    	    	    	0	0	17	0	1	3	0	4.0	2.8	15.3	11.8	darknite535
20	0	0	0	1.0	    	    	    	    	    	3.0	    	    	    	0	0	16	0	3	0	0	3.8	2.6	28.3	13.0	tman412
20	2	2	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	18	0	1	0	0	4.2	3.0	10.1	7.8	fullofredgoo
20	0	0	0	2.0	    	    	    	2.0	1.0	2.0	    	    	    	0	2	11	0	14	0	0	2.6	1.4	106.7	174.4	chuffed1384
19	0	0	4	    	    	    	5.5	    	10.5	    	    	    	    	0	0	3	0	0	0	0	2.7	1.6	21.7	64.6	markperlman
19	0	0	1	    	5.5	6.5	    	1.0	2.0	    	    	    	    	1	2	1	1	9	0	0	1.9	0.7	32.9	95.9	brunokoloska
19	0	0	0	    	    	0.5	4.5	1.0	8.0	    	    	    	    	0	5	0	0	6	2	0	2.3	1.2	134.8	199.8	aurumastrum
19	0	1	0	0.5	    	1.0	3.0	1.0	3.5	1.0	    	    	    	0	2	7	0	8	0	1	1.8	0.7	56.3	77.4	pop_op26
19	1	1	0	3.0	1.7	    	10.8	0.5	1.0	    	    	    	    	0	2	0	0	0	0	0	2.6	1.5	107.7	120.9	monepoke
19	1	1	0	2.0	5.0	4.0	3.0	    	2.0	    	    	    	    	0	1	2	0	0	0	0	1.6	0.5	42.7	36.1	akcitrop
19	0	1	0	    	2.0	0.5	0.5	    	2.0	    	    	    	    	0	0	14	0	10	0	0	3.3	2.2	34.5	30.0	kotomikun
19	0	0	1	1.0	3.5	5.0	1.0	1.5	    	    	    	    	    	0	1	6	0	14	0	0	1.8	0.7	49.1	146.8	pterion89
19	0	0	0	3.0	1.0	5.0	1.0	    	    	3.0	    	    	    	0	6	0	0	3	0	0	1.9	0.8	49.5	37.7	fluna_daiyunel
19	0	0	0	    	1.0	    	3.0	2.0	2.0	1.0	    	    	    	0	1	9	0	4	0	0	2.2	1.1	122.5	185.2	ank42389
19	3	3	1	3.0	5.0	5.0	3.0	    	    	    	    	    	    	0	0	3	0	0	0	0	1.8	0.7	34.2	25.9	kgzeroblj
18	0	0	1	0.5	    	    	0.5	    	    	    	    	    	    	0	0	17	0	3	0	0	4.0	2.9	24.7	13.1	kolare34
18	2	2	2	    	2.0	4.0	    	2.0	2.0	    	    	    	    	0	0	8	0	0	0	0	2.1	1.0	31.4	22.8	proximal_proximity
18	0	1	1	1.0	    	4.0	    	5.0	2.0	    	    	    	    	0	0	6	0	10	0	1	1.9	0.8	57.9	112.3	kenzier1994
18	0	0	0	3.0	3.0	5.0	    	    	2.0	    	    	    	    	0	1	4	0	2	0	0	1.6	0.5	99.7	175.0	battleonroute
18	0	0	1	1.0	5.5	7.5	    	    	    	    	    	    	    	0	0	4	0	11	0	0	2.2	1.1	113.3	222.0	kakunaman
18	0	0	0	1.0	3.0	4.0	2.0	1.0	2.0	5.0	    	    	    	0	0	0	0	7	1	0	1.6	0.5	134.8	186.3	f4wk3s
17	3	3	0	    	    	    	2.0	    	2.0	1.0	    	    	    	0	0	12	0	0	0	0	2.8	1.8	37.4	13.8	ice4609
17	2	2	0	    	1.5	3.5	3.5	4.5	1.0	0.5	0.5	    	    	0	1	1	0	4	0	0	1.4	0.4	14.5	9.7	pharohz
17	0	0	0	0.8	2.3	1.7	4.5	4.2	0.5	2.0	    	    	    	0	0	1	0	3	0	0	1.4	0.4	162.4	124.6	pokemontrainerred93
17	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	17	0	3	0	0	4.0	3.0	28.0	41.3	poison5200
17	2	2	1	    	    	    	    	    	    	    	    	    	    	0	0	17	0	0	0	0	4.0	3.0	18.2	18.3	gunshytv
17	1	1	0	    	    	    	    	    	    	1.0	    	1.0	    	0	0	15	0	1	1	2	3.5	2.5	28.0	18.1	zexyhyena
17	0	0	0	4.0	4.0	1.0	2.0	3.0	2.0	1.0	    	    	    	0	0	0	0	1	0	0	1.4	0.4	98.6	115.5	trey0904
17	0	0	0	1.0	1.0	    	    	2.0	1.0	2.0	    	    	    	0	1	9	0	14	0	0	2.1	1.1	103.8	134.6	demonsanddragons1
17	0	0	0	    	    	    	6.0	    	    	    	    	    	    	0	0	11	0	4	0	0	2.9	1.9	18.7	18.0	bellsbellsbellsbells
16	0	0	0	3.0	4.0	9.0	    	    	    	    	    	    	    	0	0	0	0	2	0	0	2.3	1.4	53.5	102.4	trinex22
16	1	1	1	    	    	    	    	    	    	1.0	    	    	    	0	0	15	0	1	0	0	3.5	2.6	35.0	11.7	mrcalabazal
16	0	0	1	    	4.0	2.0	    	    	    	    	    	    	    	0	10	0	0	1	0	0	2.5	1.6	36.9	29.8	ryuxxxxxxxxxxx
16	0	0	0	1.0	2.0	4.0	3.5	1.0	4.5	    	    	    	    	0	0	0	0	4	1	1	1.5	0.6	107.8	237.4	honeymuffin96
16	1	0	1	2.0	2.0	3.0	4.0	2.0	1.0	    	    	    	    	0	2	0	0	9	0	0	1.3	0.4	41.8	73.7	titanaleksi
16	1	1	0	    	    	    	2.5	    	3.5	    	    	    	    	0	0	10	0	0	0	0	2.5	1.6	42.5	26.7	pinkpastry
16	0	0	1	    	1.0	2.0	    	3.0	3.0	    	    	    	    	0	7	0	0	0	0	0	1.8	0.9	30.0	88.7	bluejay9524
16	0	0	0	5.0	    	5.0	    	    	3.0	    	    	    	    	0	3	0	0	0	0	0	1.8	0.9	60.0	126.5	adamtheherothaya
16	1	1	0	    	    	    	    	    	    	    	    	    	    	0	0	16	0	1	0	0	3.8	2.9	14.8	14.4	itmustbemitch
15	1	1	0	    	    	    	0.5	    	0.5	3.0	    	    	    	0	0	11	0	2	0	0	2.6	1.7	35.3	20.6	illcomeback4u
15	0	0	0	1.0	1.0	1.0	2.0	    	1.0	    	    	    	    	0	0	9	0	2	0	0	2.1	1.2	27.9	64.7	jsatter18
15	0	0	0	1.0	    	2.0	2.0	    	1.0	5.0	    	    	    	0	1	3	0	8	0	0	1.4	0.5	23.8	25.5	bamzing
15	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	15	0	2	1	0	3.5	2.6	23.0	17.1	bullzee35
15	0	0	0	1.0	2.0	5.5	    	    	1.5	    	    	    	    	1	4	0	0	2	0	0	1.6	0.7	75.8	95.8	njzbest15
15	0	0	0	2.7	2.3	3.3	4.2	0.8	1.7	    	    	    	    	0	0	0	0	0	0	0	1.4	0.5	108.8	251.2	dragonchampionn
15	1	1	1	2.0	4.0	8.0	    	1.0	    	    	    	    	    	0	0	0	0	1	0	0	2.1	1.2	28.6	13.9	angryponcho
14	0	0	0	1.0	    	2.0	    	2.0	3.0	    	    	1.0	    	0	1	4	0	3	0	0	1.2	0.4	70.2	153.0	spider_jar
14	0	0	0	    	    	    	    	14.0	    	    	    	    	    	0	0	0	1	0	0	0	3.3	2.4	45.0	116.0	tfs_
14	0	1	0	1.0	    	    	    	    	1.0	    	    	    	    	0	0	12	0	29	1	0	2.8	2.0	71.7	118.6	razgrizxy
14	1	1	0	    	4.0	8.0	1.0	    	    	    	    	    	    	0	1	0	0	3	0	0	2.0	1.2	45.1	35.6	josep1802
14	0	0	0	    	    	    	5.5	    	4.5	    	    	    	    	0	0	4	0	0	0	0	1.8	1.0	8.9	8.4	tustin2121
13	0	0	0	    	    	    	1.0	    	    	3.0	    	    	    	0	2	7	0	2	0	0	1.8	1.0	59.1	45.3	kpwang
13	0	0	2	2.0	3.0	    	7.0	    	    	    	    	    	    	0	1	0	0	1	0	0	1.8	1.0	63.6	139.2	lordblood20
13	0	0	0	    	    	5.8	    	0.3	0.8	4.0	    	    	    	0	2	0	0	1	0	0	1.6	0.8	31.7	21.3	kibavenger
13	0	0	0	1.0	4.0	5.0	    	1.0	2.0	    	    	    	    	0	0	0	0	0	0	0	1.5	0.7	164.5	316.0	emily_the_mew
13	0	0	0	    	1.3	    	1.3	    	1.3	2.0	    	    	    	0	0	7	0	4	0	0	1.7	0.9	194.5	305.9	acrobox
13	0	0	0	3.5	2.5	5.0	    	    	    	    	    	    	    	0	2	0	0	1	0	0	1.5	0.7	117.0	187.5	rampagingpigs
13	0	0	0	    	    	    	2.0	    	3.0	    	    	    	    	0	0	8	0	2	0	0	2.0	1.2	14.2	12.7	dumb_dog66
13	0	0	0	    	    	3.0	    	1.5	0.5	1.0	1.0	    	    	0	0	6	0	1	0	0	1.5	0.7	139.6	241.2	lucious023
12	0	0	0	    	    	    	    	    	1.0	2.0	    	    	    	0	0	9	0	3	0	0	2.1	1.4	43.3	24.8	easyquest
12	4	4	0	2.0	6.0	4.0	    	    	    	    	    	    	    	0	0	0	0	4	0	0	1.7	1.0	13.9	8.9	eksereles
12	1	1	0	1.0	3.0	4.0	3.0	    	    	    	    	    	    	0	0	1	0	0	0	0	1.3	0.6	50.5	59.4	batmanbraam
12	3	3	2	    	    	    	0.5	    	0.5	    	    	    	    	0	0	11	0	3	0	0	2.6	1.9	9.9	6.5	cakedayisbirthday
12	0	0	0	    	1.0	2.0	4.0	    	3.0	    	1.0	    	    	0	1	0	0	0	0	0	1.2	0.5	40.7	29.6	scselite
12	0	0	0	    	1.0	1.0	1.0	    	    	    	    	    	    	0	0	9	0	0	0	0	2.1	1.4	90.5	133.1	fred945
12	0	0	0	2.0	    	4.0	3.0	    	    	    	    	    	    	0	0	3	0	16	1	0	1.3	0.6	72.0	164.4	hitaka
12	2	2	0	1.0	5.0	2.0	2.0	    	1.0	    	    	    	    	0	1	0	0	2	0	0	1.3	0.6	63.6	56.4	nukeking14
12	0	0	0	0.5	3.5	4.5	    	0.8	1.3	0.3	    	    	    	0	1	0	0	3	0	0	1.3	0.6	118.0	153.5	cthuluhooper
12	0	0	0	    	    	    	    	    	    	2.0	    	    	    	0	1	9	0	0	0	0	2.1	1.4	63.3	39.6	trtly
12	4	4	4	    	    	6.0	    	1.5	4.5	    	    	    	    	0	0	0	0	0	0	0	1.7	1.0	6.6	1.7	uddercow
12	1	1	0	    	    	    	    	    	    	    	    	    	    	0	0	12	0	13	0	0	2.8	2.1	17.4	14.2	seannym
12	0	0	0	1.0	1.0	    	3.5	3.0	0.5	    	    	    	    	0	3	0	0	8	0	0	1.2	0.5	182.2	253.4	mattcianna
12	0	0	0	3.5	2.5	1.5	2.5	1.0	    	    	    	    	    	0	1	0	0	1	1	0	1.1	0.4	82.7	75.8	franh05
12	0	0	1	    	    	6.0	    	2.3	1.3	1.3	    	    	1.0	0	0	0	0	0	0	0	1.5	0.8	48.3	28.7	steps_
12	0	0	1	    	0.5	6.0	    	4.5	    	    	    	    	    	0	0	1	0	7	0	0	1.7	1.0	167.8	309.6	cyberdork34
12	0	0	0	    	    	    	    	    	1.0	2.0	    	    	    	0	1	8	0	4	0	0	1.9	1.2	41.0	74.3	theobserver99
11	0	0	0	1.0	2.0	3.0	    	2.0	1.0	1.0	    	    	    	0	0	1	1	24	0	0	0.9	0.2	68.3	56.0	wolverinesgoblue
11	0	1	0	    	    	    	    	    	    	    	    	    	    	0	0	11	0	5	0	0	2.6	2.0	78.5	104.0	w4343e4w4efvxx
11	0	0	0	1.5	2.0	1.0	2.0	2.5	2.0	    	    	    	    	0	0	0	0	5	0	0	0.9	0.3	141.8	286.3	noob265
11	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	11	0	3	0	0	2.6	2.0	48.0	24.2	paitsel
11	0	0	1	2.0	    	3.0	1.0	1.0	    	    	    	    	    	0	0	4	0	6	0	0	1.2	0.6	43.3	47.8	championroland
11	0	0	0	    	    	    	    	    	    	    	    	    	    	0	11	0	0	3	0	0	2.6	2.0	230.3	218.7	gustavbeastlund
11	0	0	0	5.0	    	1.0	    	    	2.0	    	    	    	    	0	0	3	1	5	0	0	1.4	0.7	100.5	229.9	hyperdon
11	0	0	0	    	2.0	5.0	1.0	1.0	    	    	    	    	    	0	0	2	0	2	0	0	1.3	0.7	22.3	13.1	critics_
11	0	0	0	    	    	10.0	    	    	    	    	    	    	    	1	0	0	0	0	0	0	2.3	1.7	25.5	27.2	letslonely
11	0	0	0	3.0	1.0	5.0	    	    	    	    	    	    	    	1	1	0	0	3	0	0	1.3	0.7	191.6	275.0	toxicbearman
10	0	0	0	    	    	8.0	    	    	    	    	    	    	    	0	2	0	0	6	0	0	1.9	1.3	25.2	41.1	nickfms
10	0	0	0	    	    	    	    	    	3.0	    	    	    	    	0	0	7	0	0	0	0	1.8	1.2	201.5	256.5	gavinjuan
10	0	0	0	    	    	1.0	1.0	    	    	    	    	    	    	0	0	8	0	5	0	0	1.9	1.3	43.2	45.5	mard11111
10	0	0	0	2.0	    	    	    	    	    	1.0	    	    	    	0	0	7	0	0	0	0	1.7	1.1	69.2	83.4	epsilondsc
10	0	0	0	    	2.0	1.5	1.0	0.5	    	    	    	    	    	0	3	2	0	5	0	1	0.9	0.3	65.5	161.7	jrob9308
10	0	0	0	    	1.0	    	1.0	    	    	7.0	    	    	    	0	1	0	0	4	0	0	1.6	1.0	48.9	69.9	mountainlord92
10	1	1	0	    	3.0	7.0	    	    	    	    	    	    	    	0	0	0	0	2	0	0	1.8	1.2	21.1	17.1	nightsaber_cub
10	1	1	1	2.0	1.0	3.0	1.0	1.0	2.0	    	    	    	    	0	0	0	0	1	0	0	0.9	0.3	14.0	11.6	magicdiablo
10	0	0	0	    	0.3	2.0	0.3	0.3	0.3	    	    	    	    	0	7	0	0	2	0	0	1.7	1.1	61.1	111.0	kuroimassacre
10	1	1	1	    	    	1.0	    	1.0	    	7.0	    	    	    	0	1	0	0	4	0	0	1.6	1.0	48.3	73.4	jbrooks8080
10	1	1	0	    	2.0	5.0	    	3.0	    	    	    	    	    	0	0	0	0	3	0	0	1.4	0.8	19.2	14.3	lord_erwine
10	0	0	0	0.7	    	4.5	    	4.8	    	    	    	    	    	0	0	0	0	5	0	0	1.5	0.9	63.2	119.9	darkoslo3
10	7	7	2	3.0	1.0	    	5.0	    	    	    	    	    	    	0	1	0	0	69	1	4	1.3	0.7	14.3	12.1	our_lord_helix_the_great
10	2	2	0	    	    	    	    	    	    	1.0	    	    	    	0	0	9	0	9	0	0	2.1	1.5	12.4	13.9	misterueksu
10	0	0	0	1.3	2.0	4.3	    	0.3	    	    	1.0	    	    	0	0	1	0	1	0	0	1.1	0.5	43.0	28.6	crystalstorm77
10	0	5	0	    	    	4.0	    	    	    	    	    	    	    	0	6	0	0	5	0	0	1.6	1.0	98.4	181.6	woodrow1863
10	0	0	0	2.5	0.5	2.0	    	1.0	1.0	1.0	    	    	    	1	0	1	0	6	0	0	0.8	0.2	108.8	125.9	melchib7
10	0	0	0	    	    	1.0	4.0	    	2.0	    	    	    	    	1	2	0	0	0	0	0	1.1	0.5	73.2	164.8	antek19880723
10	0	0	0	    	4.0	4.0	    	    	    	1.0	    	    	    	0	1	0	0	0	0	0	1.3	0.7	95.3	85.1	deranged_lime
10	0	0	0	2.5	2.0	5.0	    	0.5	    	    	    	    	    	0	0	0	0	0	0	0	1.3	0.7	34.4	41.4	beef5
9	0	0	0	1.0	2.0	6.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	1.5	1.0	27.0	9.6	rahulrr
9	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	0	8	0	0	0	0	1.9	1.4	59.9	32.5	gameslayer013
9	0	0	0	    	2.0	5.0	1.0	    	    	    	    	    	    	0	1	0	0	0	0	0	1.2	0.7	84.5	88.5	twan202
9	0	0	0	1.0	    	0.5	0.5	0.5	0.5	    	    	    	    	0	1	5	0	0	0	0	1.2	0.7	175.2	176.7	j073
9	1	1	1	1.0	2.0	5.0	    	1.0	    	    	    	    	    	0	0	0	0	5	0	0	1.2	0.7	10.2	9.7	akgameradar
9	0	0	0	    	    	    	    	    	    	    	    	    	    	0	2	7	0	2	0	0	1.7	1.2	92.4	180.9	sslordmagus
9	0	0	1	    	    	    	    	    	    	5.0	    	    	    	2	0	2	0	8	0	0	1.3	0.8	46.9	42.2	megacharizardy
9	0	0	4	    	    	    	    	    	    	    	    	    	    	0	0	9	0	2	0	0	2.1	1.6	25.4	61.5	demonofravens
9	1	1	0	    	    	    	    	    	    	    	    	    	    	0	0	9	0	1	0	0	2.1	1.6	36.7	16.0	spiderfog
9	0	0	0	    	    	    	3.5	    	0.5	    	    	    	    	0	0	5	0	1	0	0	1.4	0.9	37.5	34.1	joemanf
9	1	1	0	2.0	    	    	    	    	    	    	    	    	    	0	0	7	0	1	0	0	1.7	1.2	36.4	23.5	lordcynic3
9	0	0	0	    	    	2.0	    	1.0	    	    	    	    	    	0	1	5	0	3	0	0	1.2	0.7	137.3	79.1	metaknight1138
9	0	0	0	    	    	    	    	2.0	4.0	3.0	    	    	    	0	0	0	0	3	0	0	1.2	0.7	33.2	50.0	qwerty004
9	0	0	1	    	    	    	1.0	2.0	4.0	    	    	    	    	0	2	0	0	1	0	0	1.1	0.6	196.1	345.4	istoman
9	0	0	0	    	4.0	3.0	    	    	1.0	    	    	    	    	0	1	0	0	0	0	0	1.1	0.6	84.5	62.5	amm0lite
9	1	1	1	    	6.0	3.0	    	    	    	    	    	    	    	0	0	0	0	2	0	0	1.5	1.0	9.3	3.5	funkybunbun
8	1	1	0	1.0	3.0	3.0	    	1.0	    	    	    	    	    	0	0	0	0	0	0	1	1.0	0.5	66.2	33.3	blaze_strider
8	0	0	0	1.0	    	2.5	    	    	    	0.5	    	    	    	0	3	1	0	0	0	0	0.9	0.4	85.1	62.4	lamdorr
8	0	0	0	1.0	1.0	    	1.0	1.0	1.0	2.0	    	    	    	0	0	1	0	10	0	0	0.6	0.1	109.3	251.0	heyyouwhiteboy
8	0	1	0	    	3.0	3.0	    	    	    	    	    	    	    	0	2	0	0	11	0	0	1.0	0.5	56.5	77.9	ross53546
8	0	0	0	    	3.0	4.0	    	    	    	    	    	    	    	0	1	0	0	0	0	0	1.1	0.6	70.0	112.8	spindrivesmasher
8	0	0	0	    	1.0	2.0	    	    	3.0	1.0	    	    	    	0	1	0	0	1	0	0	0.8	0.3	63.0	41.1	ttomleigh
8	0	0	0	1.0	1.0	4.0	    	1.0	    	    	    	    	    	0	1	0	0	0	0	0	1.0	0.5	191.0	175.5	nyalab
8	0	0	0	2.0	    	5.0	    	1.0	    	    	    	    	    	0	0	0	0	1	0	0	1.2	0.7	27.8	23.4	lolstorm
8	0	0	0	    	    	    	    	    	    	6.0	    	    	    	0	1	1	0	1	0	0	1.4	0.9	83.8	75.9	swwssww
8	1	1	1	    	    	    	6.0	    	    	    	    	    	    	0	0	2	0	2	0	0	1.5	1.0	10.1	9.8	nopennamegirl
8	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	8	0	0	0	0	1.9	1.4	22.9	25.0	masterjedisoda
8	1	1	1	    	    	    	3.5	    	2.5	    	    	    	    	0	0	2	0	0	0	0	1.0	0.5	6.3	2.4	extramundanedisquisition
8	0	0	0	0.3	0.3	0.3	0.3	    	    	    	    	    	    	0	4	3	0	0	0	0	1.1	0.6	133.8	97.2	wafflecookie
8	0	0	0	0.5	2.0	1.0	2.5	    	    	    	    	    	    	0	0	2	0	1	0	0	0.8	0.3	124.7	134.8	blurtheninja
7	0	0	0	    	1.0	2.0	2.0	    	    	    	    	    	    	0	0	2	0	0	0	0	0.8	0.4	43.4	51.3	exiquo
7	0	0	0	1.0	2.0	4.0	    	    	    	    	    	    	    	0	0	0	0	2	0	0	1.0	0.6	24.0	12.9	hyperion064
7	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	7	0	1	0	0	1.6	1.2	62.7	34.4	k311zz
7	0	0	0	2.0	    	    	2.0	    	    	    	    	    	    	0	3	0	0	2	0	0	0.9	0.5	14.8	12.4	zaron78
7	0	0	0	    	3.0	2.0	    	1.0	    	    	    	    	    	0	1	0	0	2	0	0	0.8	0.4	89.5	76.4	darkzzpros
7	0	0	2	2.0	    	5.0	    	    	    	    	    	    	    	0	0	0	0	3	0	0	1.2	0.8	14.9	7.7	zap717
7	0	0	2	    	1.0	1.0	1.0	2.0	1.0	    	    	    	    	0	1	0	0	0	0	0	0.6	0.2	128.6	246.2	dedebenui
7	0	0	0	3.0	    	3.0	    	    	    	    	    	    	    	0	1	0	0	0	0	0	1.0	0.6	88.3	96.7	giantkirby333
7	0	0	0	    	1.0	5.0	    	    	    	    	    	    	    	0	1	0	0	2	0	0	1.2	0.8	94.9	50.2	chino9780
7	0	0	0	1.0	    	    	    	1.0	    	2.0	    	    	    	0	3	0	0	2	0	0	0.8	0.4	138.1	162.7	teital
7	0	0	0	1.0	4.0	    	1.0	    	    	    	    	    	    	0	0	1	0	12	0	0	1.0	0.6	194.2	199.9	flash_play
7	0	0	0	    	1.0	2.0	    	3.0	1.0	    	    	    	    	0	0	0	0	2	0	0	0.8	0.4	54.2	50.3	smashman8383
7	0	0	0	    	1.0	5.0	    	    	1.0	    	    	    	    	0	0	0	0	1	0	0	1.2	0.8	79.1	84.2	2tie
7	1	1	0	    	    	1.0	    	    	    	    	    	    	    	0	0	6	0	23	0	0	1.4	1.0	23.4	29.0	faithfulforce
7	0	0	0	1.0	0.5	0.5	2.0	1.0	2.0	    	    	    	    	0	0	0	0	0	0	0	0.7	0.3	16.6	8.6	avroskyargath
7	0	0	1	    	4.0	2.0	    	    	    	    	    	    	    	0	1	0	0	0	0	0	1.0	0.6	137.3	193.2	schizophreny
7	0	0	0	1.0	    	1.0	1.0	    	4.0	    	    	    	    	0	0	0	0	0	0	0	1.0	0.6	403.0	287.2	farasect
7	0	0	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	5	0	1	0	0	1.2	0.8	16.5	12.4	animefan1998
7	0	0	0	0.5	0.5	1.0	3.5	    	1.5	    	    	    	    	0	0	0	0	2	0	0	0.9	0.5	269.5	203.9	sgtbird08
7	2	2	0	    	    	    	    	1.0	    	    	    	    	    	0	0	6	0	3	0	0	1.4	1.0	34.3	38.4	davetrain14
7	0	0	0	    	2.0	    	2.0	    	    	2.0	    	    	    	0	1	0	0	5	0	0	0.8	0.4	46.4	22.7	potato213
7	0	0	0	    	    	    	    	    	2.0	    	    	    	    	0	5	0	0	0	0	0	1.2	0.8	51.3	9.9	xthetinman
7	0	0	0	1.0	1.0	4.0	1.0	    	    	    	    	    	    	0	0	0	0	0	0	0	1.0	0.6	56.2	42.0	nolou
6	0	0	0	1.0	    	    	    	1.0	    	    	    	    	    	0	0	4	0	1	0	0	1.0	0.6	86.2	88.2	helixfollower
6	0	0	0	    	1.0	    	    	    	    	    	    	    	    	0	1	4	0	0	0	0	1.0	0.6	171.0	173.4	alajhsm_arabin
6	0	0	0	    	1.0	3.0	    	1.0	    	    	    	    	    	0	1	0	3	25	0	0	1.0	0.5	57.3	99.6	2spooky4m3
6	2	2	0	1.0	2.0	1.0	    	    	    	    	    	    	    	0	1	1	3	8	0	0	0.8	0.3	47.2	29.9	flarn2006
6	1	1	0	1.0	1.0	    	3.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.8	0.4	37.0	15.4	thewizard34
6	0	0	0	    	    	    	3.0	    	    	1.0	    	    	    	0	1	1	0	1	0	0	0.8	0.4	226.0	205.2	xxxblackoutxxxx
6	1	1	0	    	    	    	    	    	    	    	    	    	    	0	0	6	0	0	0	0	1.4	1.0	71.0	101.2	khaisz
6	0	0	0	    	    	    	    	1.0	    	2.0	    	    	    	0	0	3	0	0	0	0	0.8	0.4	326.3	253.5	eniac_iso
6	0	0	0	    	3.0	    	    	1.0	    	    	    	    	    	0	1	1	0	0	0	0	0.8	0.4	44.8	43.6	lov3smnm5
6	0	0	1	    	3.0	3.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	1.0	0.6	39.3	13.4	hanible3
6	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	6	0	0	0	0	1.4	1.0	67.8	30.6	coolmate123
6	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	6	0	3	0	0	1.4	1.0	62.2	59.3	ironicsalmon
6	0	0	0	2.0	    	    	    	    	3.0	    	    	    	    	0	1	0	0	0	0	0	0.8	0.4	12.6	7.6	mundanetable
6	1	1	1	    	    	    	1.0	0.5	1.0	    	    	0.5	    	0	0	3	0	6	0	0	0.7	0.3	19.4	10.4	kari_grandi
6	0	0	0	    	1.0	1.0	    	    	    	    	    	    	    	0	0	4	0	0	0	0	1.0	0.6	78.6	68.5	warped_jack
6	0	0	0	    	    	1.0	1.5	1.0	1.5	    	    	    	    	0	1	0	0	0	0	0	0.6	0.2	20.7	17.3	princess_niki
6	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	6	0	0	0	0	1.4	1.0	40.4	33.6	spartonberry
6	0	0	0	2.0	1.0	2.0	    	    	    	    	    	    	    	0	0	1	0	1	0	0	0.7	0.3	35.1	28.3	ignisfall3000
5	0	0	0	    	    	    	0.5	    	1.5	    	    	    	    	0	0	3	0	0	0	0	0.8	0.5	339.1	265.8	xthederps
5	0	0	0	    	    	1.0	    	    	4.0	    	    	    	    	0	0	0	0	0	0	0	1.0	0.7	116.8	68.5	cinkykinkysinky
5	0	0	0	    	2.0	1.0	    	    	    	    	    	    	    	0	1	1	0	0	0	0	0.6	0.3	206.9	293.1	smokeybunny1
5	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	5	0	0	0	0	1.2	0.9	79.5	56.0	timefluxx
5	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	5	0	0	0	0	1.2	0.9	53.6	16.6	dasusp
5	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	5	0	2	0	0	1.2	0.9	127.1	84.0	zemartini
5	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	5	0	0	0	0	1.2	0.9	32.5	22.6	boyhenk
5	0	0	0	2.0	    	    	    	    	    	1.0	    	    	    	0	0	2	0	4	0	0	0.7	0.4	300.4	276.1	shinysapphire
5	0	0	0	    	    	    	    	    	    	2.0	    	    	    	0	1	2	0	0	0	0	0.7	0.4	69.3	44.1	jtoddmcswag
5	0	0	0	    	    	2.0	    	1.0	    	    	    	    	    	0	1	1	0	2	0	0	0.6	0.3	26.7	23.0	shadow4499
5	0	0	0	    	    	    	    	    	    	1.0	    	    	    	0	0	4	0	7	0	0	1.0	0.7	51.3	62.8	fasnitro
5	0	0	0	2.0	2.0	1.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.7	0.4	21.6	7.6	thepokemonmasterzippyroo
