
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
64	2	2	0	2.5	2.3	1.0	11.8	    	22.3	    	    	    	    	0	0	24	0	18	3	0	7.6	3.8	35.2	59.6	makeourday
64	12	12	3	    	    	19.0	11.0	    	1.0	    	    	    	    	0	0	33	0	4	0	0	8.8	5.0	8.3	9.8	lizette51649
63	5	0	2	1.0	2.5	15.0	3.5	7.0	8.0	22.0	3.0	    	    	0	0	1	2	58	0	2	6.0	2.2	28.8	30.8	selkiss_
63	0	7	1	2.0	18.0	43.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.7	7.0	22.7	65.8	qky0oonsqr
62	0	4	6	2.0	19.0	41.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.3	6.7	23.0	65.8	x9sdxh
62	2	2	1	9.0	    	    	16.5	    	1.5	    	    	    	    	0	1	34	0	2	0	0	8.7	5.1	13.5	20.7	hypocrism
62	2	2	1	2.0	17.0	43.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.6	7.0	23.4	66.4	s9tgrv
62	2	0	1	2.0	17.0	43.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.6	7.0	23.3	66.5	ai8xjttvi3
61	4	2	7	1.0	19.0	41.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.4	6.8	23.4	66.0	g1qumf370x
61	0	2	1	    	    	    	13.5	1.0	12.5	1.0	    	    	    	0	2	31	0	22	0	0	8.0	4.4	12.8	19.0	boogiepopecho
61	0	4	0	2.0	17.0	42.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	10.4	6.8	23.5	66.2	fqanoh
59	6	2	2	17.0	2.0	10.0	12.0	4.0	10.0	1.0	    	    	    	0	3	0	0	43	0	0	5.2	1.7	23.2	57.4	zdk2013
59	2	2	0	    	    	    	2.0	0.3	1.3	    	    	    	0.3	0	0	55	0	1	0	0	12.9	9.4	10.9	33.2	charmyte
